OBJECTID,ID,LENGTH,AFC_NUMBER,ROADTYPE,NUMBER,PRIMARY_NA,ALT_NAME_1,ALT_NAME_2,LOCAL_NAME,STATE,CCSTYLE,ALTFUEL_RO,EV_ROUND,EV,ELECTRICVE,CNG_ROUND,CNG,COMNATURAL,LNG_ROUND,LNG,LIQNATURAL,LPG_ROUND,LPG,PROPANE,HY_ROUND,HY,HYDROGEN,Len_miles,Not_NHS,ShapeSTLength
79,433,15.48,65,I,65,I65, , , ,AL,1,234,4,2,Signage Pending,2,1,Signage Ready,2,2,Signage Pending,3,1,Signage Ready,0,0, ,15.48493593,0,29850.8764141701
80,447,30.63,85,I,85,I85, , , ,GA,1,1,1,1,Signage Ready,1,2,Signage Pending,0,0, ,5,1,Signage Ready,0,0, ,30.62623131,0,59215.7803420975
81,448,89.02,75,I,75,I75, , , ,GA,1,13,1,1,Signage Ready,1,1,Signage Ready,3,2,Signage Pending,5,1,Signage Ready,0,0, ,89.024294,0,171190.488573375
82,464,224.42,25,I,25,I25, , , ,NM,1,4,4,2,Signage Pending,4,2,Signage Pending,4,2,Signage Pending,4,1,Signage Ready,0,0, ,224.41974696,0,433173.653840609
83,470,93.63,285,S,285,S285, , , ,NM,4,5,5,2,Signage Pending,0,0, ,0,0, ,0,0, ,0,0, ,93.63033519,0,181718.986636138
84,502,291,70,U,70,U70, , , ,NM,3,45,5,2,Signage Pending,0,0, ,0,0, ,4,1,Signage Ready,0,0, ,290.99706614,0,561929.259185829
85,512,126.14,27,I,27,I27,I,27, ,TX,1,26,6,2,Signage Pending,2,2,Signage Pending,6,2,Signage Pending,2,2,Signage Pending,0,0, ,126.1363033,0,245257.141810744
86,521,105.48,40,I,40,I40,I,40, ,TX,1,256,5,2,Signage Pending,2,1,Signage Ready,6,2,Signage Pending,2,1,Signage Ready,6,2,Signage Pending,105.47559225,0,209205.124231047
87,588,33.4,26,I,26,I26, , , ,SC,1,16,1,1,Signage Ready,1,2,Signage Pending,0,0, ,1,1,Signage Ready,0,0, ,33.40098055,0,64563.0414680394
88,597,33.35,35,I,35,I35,U77, , ,TX,1,16,1,1,Signage Ready,1,1,Signage Ready,1,2,Signage Pending,1,1,Signage Ready,6,2,Signage Pending,33.3501253,0,64146.9776431853
